Element 1	0.00420298	0.0627763	0.0300907	0.225351	0.225367	0.225332	0.0677757	0.00356609	0.0276136	4.38854	0.403885	1.4449
Element 10	0.408372	0.454419	0.144565	0.588229	0.588289	121.246	0.0591531	0.124004	0.00164986	0.463964	1.23413	0.0205869
Element 100	4.24935	5.03557	0.188921	0.475264	13.8571	0.0526975	0.394356	2.61213	0.138002	0.411194	17.8538	0.0812774
Element 101	0.200943	4.4012	4.9725	0.0548367	0.504248	14.5721	2.47531	0.386883	0.131936	17.2978	0.405044	0.0780821
Element 102	0.216053	4.91107	4.54863	0.0583584	15.3264	0.534435	2.36114	0.126277	0.381364	16.8165	0.0750305	0.399306
Element 103	4.86738	0.319974	4.58872	16.0321	0.0670871	0.577039	0.121482	2.3164	0.379258	0.0722276	14.128	0.389973
Element 11	0.136472	0.770678	0.156862	0.0499965	0.8819	16.1769	0.996822	0.0380305	0.127685	20.0133	0.260516	0.699559
Element 12	0.304384	0.756271	0.101165	0.0842014	1.64066	29.7143	0.0345203	0.971751	0.120593	0.216596	12.1237	0.560866
Element 13	0.777419	0.0578312	0.426387	2.71058	71.7532	0.0913332	0.113407	0.790114	0.0323294	0.448867	8.66367	0.178503
Element 14	1.06544	0.120144	0.180915	1.04118	68.7113	0.0887534	1.12066	0.0305453	1.59964	3.70063	0.214098	9.99097
Element 15	1.05284	0.29944	0.117461	1.31963	0.128461	102.19	0.960643	0.0263556	1.38059	2.87478	0.182077	7.49166
Element 16	1.01647	0.441767	0.121504	1.69182	0.17418	167.011	0.827967	0.0233023	1.18303	2.30343	0.156954	5.85783
Element 17	0.944221	0.437322	0.254548	0.240052	9.3051	9.30486	0.0547763	0.800088	0.0107489	0.168656	2.9785	0.0684241
Element 18	1.06983	0.424632	0.243898	0.287791	12.4157	12.4159	0.0479446	0.764959	0.00823128	0.13698	2.43941	0.0527259
Element 19	0.692718	0.965161	0.148467	7.1085	0.357533	0.0393763	0.0264645	1.80884	0.5439	0.103591	32.2845	1.67791
Element 2	1.87544e-005	0.000410596	0.1963	0.212428	0.332212	0.517325	0.00836016	0.0295102	4.65929e-007	0.366668	1.37172	37576.8
Element 20	0.366903	0.866379	0.667203	0.0614274	0.570882	7.82966	0.487744	1.82406	0.0220248	1.32531	21.0056	0.0911853
Element 21	0.378872	0.900023	0.715289	0.069891	0.521062	7.87708	0.0188641	0.407946	1.61787	0.0817513	1.11141	18.0841
Element 22	0.362383	0.984233	0.741716	0.0754707	0.497757	8.17659	0.362555	1.49159	0.016166	0.955525	16.2222	0.0733141
Element 23	0.352961	0.746791	1.08364	0.0819204	8.8119	0.510646	1.39014	0.331273	0.0140423	14.8902	0.838543	0.0657433
Element 24	1.34348	0.50704	0.426359	1.25814	11.5043	0.085366	0.0117242	0.511967	0.338286	0.0600177	1.53772	0.662418
Element 25	0.326698	0.717297	1.33212	0.0888813	11.13	0.582141	0.280802	1.15499	0.0111984	0.671583	12.6825	0.0532334
Element 26	0.313455	0.68929	1.47142	0.0899326	13.0366	0.633345	1.03299	0.25828	0.0103461	11.6783	0.609116	0.0481611
Element 27	0.315878	1.60139	0.656394	0.0946683	0.699436	15.6954	0.936747	0.00977563	0.238379	10.9392	0.0437447	0.556286
Element 28	1.72255	0.329543	0.623007	0.776607	0.102262	19.4156	0.00943497	0.854064	0.221074	0.0398685	10.4078	0.510869
Element 29	0.358775	1.76181	0.636905	0.106153	1.01641	15.3659	0.00744931	0.189002	0.22962	0.0385346	0.398428	0.90142
Element 3	0.0745844	0.0715382	0.145315	0.881151	0.0459143	0.881302	1.12126	0.00251737	0.358435	18.8484	0.15919	6.12371
Element 30	0.570894	1.98909	0.306061	0.126535	2.17782	37.8619	0.2356	0.397061	0.00685657	0.367019	0.86642	0.0335779
Element 31	0.625528	2.05303	0.289608	0.110006	2.41096	47.8686	0.207911	0.34508	0.00655634	0.327807	0.743139	0.0309411
Element 32	0.590953	0.539981	2.00626	0.118376	71.8937	1.39305	0.749705	0.183581	0.00952191	6.89943	0.364667	0.0269889
Element 33	0.777875	0.593848	1.95919	0.150733	142.882	1.7475	0.17988	0.863267	0.00959053	0.331801	5.8549	0.0233778
Element 34	0.958391	0.603851	1.90829	0.183776	196.819	2.15082	0.173886	0.935265	0.00862255	0.300006	4.92471	0.0212308
Element 35	1.14136	0.518119	1.85732	0.218709	193.917	2.65755	0.168217	0.975706	0.00724188	0.27172	4.19483	0.0199326
Element 36	0.324387	1.31732	1.79913	63.1318	0.254706	3.23668	0.00429961	1.00429	0.162188	0.0198966	3.61095	0.245584
Element 37	0.290445	2.44201	0.769435	0.036842	1.16013	16.9591	1.58687	0.00281618	0.128664	2.53083	0.0188577	0.210754
Element 38	0.0137373	1.97549	1.59261	0.0187469	6.36079	0.221992	0.173264	4.6628	0.00161265	0.201625	25.3028	0.0153611
Element 39	0.675303	0.470287	2.63498	0.0654332	106.109	2.06644	0.109622	0.960349	0.00528922	0.193132	1.63311	0.0166084
Element 4	0.0611643	0.125755	0.200832	0.0990182	0.0990272	1.87393	0.787243	0.00158848	0.273962	9.32795	0.08919	3.20688
Element 40	2.64366	0.554225	0.761377	2.20203	178.26	0.0767219	0.00602947	0.0991631	0.956782	0.0155143	0.176176	1.54331
Element 41	0.659533	1.84546	1.25584	0.0866145	5.94774	0.640851	0.122253	0.706638	0.00262382	0.166646	1.62853	0.00826258
Element 42	0.61016	1.26544	1.97429	0.0911628	0.506776	5.8959	0.648029	0.00260381	0.113887	1.46634	0.00784336	0.155114
Element 43	0.855189	1.6622	1.45575	0.102962	7.64907	1.0164	0.105446	0.771657	0.00220993	0.142303	1.34659	0.00790359
